time,value,date
00:41:51,80,2022-03-23
00:42:01,81,2022-03-23
00:42:06,80,2022-03-23
00:42:11,77,2022-03-23
00:42:16,76,2022-03-23
00:42:21,76,2022-03-23
00:42:31,77,2022-03-23
00:42:36,77,2022-03-23
00:42:41,76,2022-03-23
00:42:46,73,2022-03-23
00:43:01,74,2022-03-23
00:43:06,75,2022-03-23
00:43:11,74,2022-03-23
00:43:16,74,2022-03-23
00:43:21,74,2022-03-23
00:43:36,73,2022-03-23
00:43:46,74,2022-03-23
00:43:56,75,2022-03-23
00:44:06,77,2022-03-23
00:44:11,78,2022-03-23
00:44:16,77,2022-03-23
00:44:21,74,2022-03-23
00:44:26,73,2022-03-23
00:44:41,73,2022-03-23
00:44:46,74,2022-03-23
00:44:51,75,2022-03-23
00:44:56,77,2022-03-23
00:45:01,79,2022-03-23
00:45:11,78,2022-03-23
00:45:16,77,2022-03-23
00:45:26,77,2022-03-23
00:45:31,78,2022-03-23
00:45:46,78,2022-03-23
00:45:51,75,2022-03-23
00:45:56,74,2022-03-23
00:46:11,74,2022-03-23
00:46:21,75,2022-03-23
00:46:26,76,2022-03-23
00:46:41,77,2022-03-23
00:46:51,77,2022-03-23
00:46:56,75,2022-03-23
00:47:06,76,2022-03-23
00:47:11,77,2022-03-23
00:47:16,80,2022-03-23
00:47:21,81,2022-03-23
00:47:26,80,2022-03-23
00:47:31,80,2022-03-23
00:47:46,85,2022-03-23
00:47:51,87,2022-03-23
00:47:56,83,2022-03-23
00:48:01,79,2022-03-23
00:48:16,78,2022-03-23
00:48:21,76,2022-03-23
00:48:31,76,2022-03-23
00:48:36,76,2022-03-23
00:48:41,76,2022-03-23
00:48:46,76,2022-03-23
00:48:56,77,2022-03-23
00:49:01,79,2022-03-23
00:49:11,79,2022-03-23
00:49:26,78,2022-03-23
00:49:31,79,2022-03-23
00:49:36,78,2022-03-23
00:49:41,77,2022-03-23
00:49:46,76,2022-03-23
00:49:51,75,2022-03-23
00:50:01,76,2022-03-23
00:50:06,75,2022-03-23
00:50:11,75,2022-03-23
00:50:16,76,2022-03-23
00:50:26,77,2022-03-23
00:50:41,77,2022-03-23
00:50:56,77,2022-03-23
00:51:01,76,2022-03-23
00:51:06,74,2022-03-23
00:51:11,75,2022-03-23
00:51:16,77,2022-03-23
00:51:21,77,2022-03-23
00:51:26,78,2022-03-23
00:51:31,77,2022-03-23
00:51:46,77,2022-03-23
00:51:51,78,2022-03-23
00:51:56,77,2022-03-23
00:52:01,77,2022-03-23
00:52:11,78,2022-03-23
00:52:16,79,2022-03-23
00:52:21,81,2022-03-23
00:52:26,84,2022-03-23
00:52:31,83,2022-03-23
00:52:36,81,2022-03-23
00:52:41,79,2022-03-23
00:52:46,77,2022-03-23
00:52:51,77,2022-03-23
00:53:06,77,2022-03-23
00:53:21,75,2022-03-23
00:53:36,75,2022-03-23
00:53:41,75,2022-03-23
00:53:46,76,2022-03-23
00:53:56,77,2022-03-23
00:54:11,77,2022-03-23
00:54:21,75,2022-03-23
00:54:26,74,2022-03-23
00:54:31,75,2022-03-23
00:54:36,75,2022-03-23
00:54:41,74,2022-03-23
00:54:46,74,2022-03-23
00:54:51,75,2022-03-23
00:55:01,75,2022-03-23
00:55:11,75,2022-03-23
00:55:21,76,2022-03-23
