time,value,date
01:10:09,69,2022-03-23
01:10:24,70,2022-03-23
01:10:29,69,2022-03-23
01:10:39,68,2022-03-23
01:10:44,69,2022-03-23
01:10:49,70,2022-03-23
01:11:04,70,2022-03-23
01:11:14,68,2022-03-23
01:11:19,69,2022-03-23
01:11:29,71,2022-03-23
01:11:34,70,2022-03-23
01:11:39,69,2022-03-23
01:11:44,69,2022-03-23
01:11:49,71,2022-03-23
01:11:54,75,2022-03-23
01:11:59,77,2022-03-23
01:12:04,78,2022-03-23
01:12:09,76,2022-03-23
01:12:14,74,2022-03-23
01:12:19,74,2022-03-23
01:12:24,75,2022-03-23
01:12:34,72,2022-03-23
01:12:39,69,2022-03-23
01:12:54,69,2022-03-23
01:13:09,68,2022-03-23
01:13:14,68,2022-03-23
01:13:19,70,2022-03-23
01:13:24,69,2022-03-23
01:13:29,67,2022-03-23
01:13:39,68,2022-03-23
01:13:44,67,2022-03-23
01:13:59,68,2022-03-23
01:14:04,70,2022-03-23
01:14:14,72,2022-03-23
01:14:19,73,2022-03-23
01:14:29,72,2022-03-23
01:14:34,69,2022-03-23
01:14:44,68,2022-03-23
01:14:49,68,2022-03-23
01:14:54,67,2022-03-23
01:14:59,67,2022-03-23
01:15:09,66,2022-03-23
01:15:14,65,2022-03-23
01:15:19,65,2022-03-23
01:15:24,68,2022-03-23
01:15:29,69,2022-03-23
01:15:34,67,2022-03-23
01:15:39,65,2022-03-23
01:15:44,66,2022-03-23
01:15:54,65,2022-03-23
01:15:59,66,2022-03-23
01:16:04,67,2022-03-23
01:16:09,67,2022-03-23
01:16:14,68,2022-03-23
01:16:19,68,2022-03-23
01:16:34,68,2022-03-23
01:16:39,72,2022-03-23
01:16:44,74,2022-03-23
01:16:49,70,2022-03-23
01:16:54,66,2022-03-23
01:16:59,67,2022-03-23
01:17:04,69,2022-03-23
01:17:19,78,2022-03-23
01:17:24,79,2022-03-23
01:17:29,76,2022-03-23
01:17:34,75,2022-03-23
01:17:39,74,2022-03-23
01:17:44,73,2022-03-23
01:17:49,71,2022-03-23
01:17:54,69,2022-03-23
01:18:09,69,2022-03-23
01:18:14,70,2022-03-23
01:18:19,71,2022-03-23
01:18:29,72,2022-03-23
01:18:34,73,2022-03-23
01:18:39,76,2022-03-23
01:18:44,77,2022-03-23
01:18:59,76,2022-03-23
01:19:04,75,2022-03-23
01:19:09,70,2022-03-23
01:19:19,71,2022-03-23
01:19:29,76,2022-03-23
01:19:34,77,2022-03-23
01:19:39,77,2022-03-23
01:19:44,74,2022-03-23
01:19:49,70,2022-03-23
01:19:54,72,2022-03-23
01:19:59,74,2022-03-23
01:20:04,70,2022-03-23
01:20:09,67,2022-03-23
01:20:14,67,2022-03-23
01:20:19,67,2022-03-23
01:20:24,68,2022-03-23
01:20:29,68,2022-03-23
01:20:44,67,2022-03-23
01:20:49,68,2022-03-23
01:20:54,77,2022-03-23
01:20:59,77,2022-03-23
01:21:04,75,2022-03-23
01:21:09,74,2022-03-23
01:21:14,73,2022-03-23
01:21:19,71,2022-03-23
01:21:24,70,2022-03-23
01:21:34,71,2022-03-23
01:21:39,70,2022-03-23
01:21:44,70,2022-03-23
01:21:49,70,2022-03-23
01:21:54,69,2022-03-23
01:21:59,67,2022-03-23
01:22:04,68,2022-03-23
01:22:14,67,2022-03-23
01:22:19,66,2022-03-23
01:22:34,66,2022-03-23
01:22:39,67,2022-03-23
01:22:44,69,2022-03-23
01:22:49,68,2022-03-23
01:22:54,66,2022-03-23
01:22:59,66,2022-03-23
01:23:04,66,2022-03-23
01:23:09,68,2022-03-23
01:23:14,69,2022-03-23
01:23:19,70,2022-03-23
01:23:24,71,2022-03-23
01:23:34,72,2022-03-23
01:23:39,73,2022-03-23
01:23:44,74,2022-03-23
01:23:49,72,2022-03-23
01:23:54,70,2022-03-23
01:23:59,68,2022-03-23
01:24:04,67,2022-03-23
01:24:19,67,2022-03-23
01:24:24,68,2022-03-23
01:24:39,66,2022-03-23
01:24:54,66,2022-03-23
01:25:04,67,2022-03-23
01:25:14,68,2022-03-23
01:25:19,69,2022-03-23
01:25:29,69,2022-03-23
01:25:39,69,2022-03-23
01:25:44,71,2022-03-23
01:25:49,68,2022-03-23
01:25:54,66,2022-03-23
01:25:59,66,2022-03-23
01:26:09,69,2022-03-23
01:26:14,71,2022-03-23
01:26:19,72,2022-03-23
01:26:24,73,2022-03-23
01:26:39,72,2022-03-23
01:26:44,69,2022-03-23
01:26:49,67,2022-03-23
01:26:54,68,2022-03-23
01:27:04,66,2022-03-23
01:27:09,67,2022-03-23
01:27:24,65,2022-03-23
01:27:34,66,2022-03-23
01:27:44,67,2022-03-23
01:27:49,68,2022-03-23
01:27:59,67,2022-03-23
01:28:09,68,2022-03-23
01:28:14,69,2022-03-23
01:28:24,68,2022-03-23
01:28:39,67,2022-03-23
01:28:49,68,2022-03-23
01:28:54,69,2022-03-23
01:29:09,69,2022-03-23
01:29:24,69,2022-03-23
01:29:29,68,2022-03-23
01:29:34,67,2022-03-23
01:29:39,68,2022-03-23
01:29:44,70,2022-03-23
01:29:49,68,2022-03-23
01:29:54,66,2022-03-23
01:30:04,67,2022-03-23
01:30:14,68,2022-03-23
01:30:19,69,2022-03-23
01:30:24,70,2022-03-23
01:30:34,69,2022-03-23
01:30:44,67,2022-03-23
01:30:49,67,2022-03-23
01:31:00,66,2022-03-23
01:31:05,68,2022-03-23
01:31:15,67,2022-03-23
01:31:25,68,2022-03-23
01:31:30,70,2022-03-23
01:31:35,67,2022-03-23
01:31:40,65,2022-03-23
01:31:45,65,2022-03-23
01:31:50,67,2022-03-23
01:31:55,68,2022-03-23
01:32:00,69,2022-03-23
01:32:10,69,2022-03-23
01:32:20,74,2022-03-23
01:32:25,76,2022-03-23
01:32:30,72,2022-03-23
01:32:35,71,2022-03-23
01:32:40,70,2022-03-23
01:32:45,65,2022-03-23
01:32:50,66,2022-03-23
01:33:05,66,2022-03-23
01:33:10,66,2022-03-23
01:33:15,67,2022-03-23
01:33:25,68,2022-03-23
01:33:30,70,2022-03-23
01:33:45,71,2022-03-23
01:33:50,72,2022-03-23
01:34:05,74,2022-03-23
01:34:10,76,2022-03-23
01:34:15,78,2022-03-23
01:34:20,76,2022-03-23
01:34:25,71,2022-03-23
01:34:30,67,2022-03-23
01:34:35,68,2022-03-23
01:34:40,67,2022-03-23
01:34:45,68,2022-03-23
01:34:50,69,2022-03-23
01:35:00,68,2022-03-23
01:35:10,70,2022-03-23
01:35:15,74,2022-03-23
01:35:25,72,2022-03-23
01:35:40,72,2022-03-23
01:35:50,71,2022-03-23
01:36:00,72,2022-03-23
01:36:05,74,2022-03-23
01:36:10,75,2022-03-23
01:36:25,73,2022-03-23
01:36:30,71,2022-03-23
01:36:35,70,2022-03-23
01:36:40,68,2022-03-23
01:36:51,69,2022-03-23
01:36:56,70,2022-03-23
01:37:01,73,2022-03-23
01:37:06,74,2022-03-23
01:37:11,73,2022-03-23
01:37:16,72,2022-03-23
01:37:21,70,2022-03-23
01:37:26,71,2022-03-23
